,Variable,Feature,Value,Coefficient,N,N.not.0,P.value,Q.value,Measure,is_filtered
57,caesar,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,caesar1,-0.028760695,518,83,0.017685044,0.156421161,tax,filtered
58,caesar,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,caesar1,-0.028760695,518,83,0.017685044,0.156421161,tax,filtered
59,caesar,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,caesar1,0.021200784,518,257,0.022629265,0.195654152,tax,filtered
60,caesar,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified,caesar1,0.021200784,518,257,0.022629265,0.195654152,tax,filtered
61,caesar,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella,caesar1,0.058640042,518,346,0.023313216,0.200776394,tax,filtered
65,caesar,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_perfringens,caesar1,0.053584996,646,99,1.32E-05,0.000153737,tax,unfiltered
66,caesar,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,caesar1,-0.046197749,646,295,0.00021208,0.002297043,tax,unfiltered
67,caesar,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,caesar1,0.030938495,646,268,0.001277477,0.013112923,tax,unfiltered
68,caesar,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,caesar1,0.030844706,646,268,0.001387117,0.014145888,tax,unfiltered
69,caesar,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,caesar1,0.030844706,646,268,0.001387117,0.014145888,tax,unfiltered
70,caesar,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,caesar1,-0.059389665,646,193,0.002089484,0.021035481,tax,unfiltered
71,caesar,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified,caesar1,-0.046703759,646,218,0.002946235,0.029285203,tax,unfiltered
72,caesar,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,caesar1,-0.055775708,646,172,0.00296636,0.029299801,tax,unfiltered
73,caesar,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,caesar1,-0.055775708,646,172,0.00296636,0.029299801,tax,unfiltered
74,caesar,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__Klebsiella_pneumoniae_unclassified,caesar1,0.034919812,646,79,0.007993835,0.073691202,tax,unfiltered
75,caesar,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,caesar1,0.021493615,646,325,0.011881633,0.104538405,tax,unfiltered
76,caesar,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa|t__Rothia_mucilaginosa_unclassified,caesar1,0.021493615,646,325,0.011881633,0.104538405,tax,unfiltered
77,caesar,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia,caesar1,0.021708892,646,330,0.013796783,0.12004348,tax,unfiltered
78,caesar,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,caesar1,-0.038239881,646,286,0.015003717,0.130184181,tax,unfiltered
79,caesar,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,caesar1,0.012620375,646,203,0.026417413,0.21167626,tax,unfiltered
42,eczema_by_2_years,M00287,eczema_by_2_years1,0.003597711,654,523,0.014379226,0.104037928,module,unfiltered
13,eczema_by_2_years,M00277,eczema_by_2_years1,0.005976924,518,473,0.016656038,0.155744772,module,filtered
93,eczema_by_2_years,ko00531,eczema_by_2_years1,0.006375157,654,634,0.00040351,0.004007272,pwy,unfiltered
26,eczema_by_2_years,ko00531,eczema_by_2_years1,0.007505077,518,501,0.000501462,0.005480266,pwy,filtered
27,eczema_by_2_years,ko04141,eczema_by_2_years1,0.001987265,518,517,0.011367227,0.104053851,pwy,filtered
28,eczema_by_2_years,ko02040,eczema_by_2_years1,0.005836935,518,518,0.014703643,0.129078704,pwy,filtered
80,eczema_by_2_years,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,eczema_by_2_years1,0.041669215,646,645,0.028602395,0.22744335,tax,unfiltered
43,studygroup,M00278,studygrouplactob DR20,0.016634617,654,381,0.000308042,0.006403811,module,unfiltered
44,studygroup,M00198,studygrouplactob DR20,0.018473741,654,619,0.000347797,0.007129847,module,unfiltered
46,studygroup,M00007,studygrouplactob DR20,-0.008400168,654,654,0.005670571,0.086286209,module,unfiltered
45,studygroup,M00278,studygroupplaceb,0.013471099,654,381,0.003137788,0.054486767,module,unfiltered
14,studygroup,M00198,studygrouplactob DR20,0.011388494,518,484,0.001536799,0.033029718,module,filtered
95,studygroup,ko03070,studygrouplactob DR20,0.003630543,654,654,0.005240074,0.072729697,pwy,unfiltered
96,studygroup,ko05120,studygrouplactob DR20,-0.001440603,654,654,0.012410814,0.145815876,pwy,unfiltered
98,studygroup,ko00030,studygrouplactob DR20,-0.002528869,654,654,0.012806808,0.148275811,pwy,unfiltered
99,studygroup,ko02040,studygrouplactob DR20,0.011634509,654,654,0.013725122,0.155699566,pwy,unfiltered
102,studygroup,ko02030,studygrouplactob DR20,0.010710572,654,624,0.02361095,0.24953958,pwy,unfiltered
94,studygroup,ko00562,studygroupplaceb,-0.003204804,654,654,0.001005565,0.018088331,pwy,unfiltered
97,studygroup,ko00030,studygroupplaceb,-0.002515637,654,654,0.012467764,0.145815876,pwy,unfiltered
100,studygroup,ko03070,studygroupplaceb,0.003166804,654,654,0.0139262,0.156516903,pwy,unfiltered
101,studygroup,ko02030,studygroupplaceb,0.011061808,654,624,0.018260407,0.198452723,pwy,unfiltered
64,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,studygrouplactob DR20,-0.278237888,518,100,7.90E-13,3.06E-11,tax,filtered
65,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified,studygrouplactob DR20,-0.278237888,518,100,7.90E-13,3.06E-11,tax,filtered
66,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus,studygrouplactob DR20,0.289259337,518,179,1.03E-09,3.20E-08,tax,filtered
67,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus|t__Lactobacillus_rhamnosus_unclassified,studygrouplactob DR20,0.289259337,518,179,1.03E-09,3.20E-08,tax,filtered
68,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,studygrouplactob DR20,0.20409371,518,265,4.62E-05,0.001068944,tax,filtered
69,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,studygrouplactob DR20,0.202916702,518,265,5.15E-05,0.001179377,tax,filtered
62,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,studygroupplaceb,-0.28346662,518,100,1.92E-13,7.83E-12,tax,filtered
63,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified,studygroupplaceb,-0.28346662,518,100,1.92E-13,7.83E-12,tax,filtered
83,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,studygrouplactob DR20,-0.265861445,646,119,5.85E-15,2.15E-13,tax,unfiltered
84,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified,studygrouplactob DR20,-0.265861445,646,119,5.85E-15,2.15E-13,tax,unfiltered
85,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus,studygrouplactob DR20,0.288490221,646,221,1.86E-11,5.79E-10,tax,unfiltered
86,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus|t__Lactobacillus_rhamnosus_unclassified,studygrouplactob DR20,0.288490221,646,221,1.86E-11,5.79E-10,tax,unfiltered
87,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,studygrouplactob DR20,0.21336762,646,331,3.12E-06,7.52E-05,tax,unfiltered
88,studygroup,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,studygrouplactob DR20,0.212281252,646,331,3.55E-06,8.46E-05,tax,unfiltered
81,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis,studygroupplaceb,-0.271313927,646,119,1.10E-15,4.27E-14,tax,unfiltered
82,studygroup,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__Bifidobacterium_animalis_unclassified,studygroupplaceb,-0.271313927,646,119,1.10E-15,4.27E-14,tax,unfiltered
47,time,M00310,time,0.001820763,654,367,1.95E-144,1.44E-141,module,unfiltered
48,time,M00026,time,0.00428746,654,591,3.40E-85,1.26E-82,module,unfiltered
49,time,M00359,time,0.005104507,654,639,4.39E-83,1.08E-80,module,unfiltered
50,time,M00185,time,0.003766068,654,603,6.68E-80,1.23E-77,module,unfiltered
51,time,M00360,time,0.002762752,654,654,3.23E-74,4.77E-72,module,unfiltered
52,time,M00178,time,0.001972474,654,654,1.21E-58,1.49E-56,module,unfiltered
53,time,M00001,time,0.002075298,654,654,1.85E-57,1.95E-55,module,unfiltered
54,time,M00245,time,0.002926137,654,527,1.28E-53,1.18E-51,module,unfiltered
55,time,M00003,time,0.002913304,654,654,5.18E-51,4.24E-49,module,unfiltered
56,time,M00197,time,0.002231849,654,654,1.81E-40,1.34E-38,module,unfiltered
57,time,M00002,time,0.001160151,654,654,3.00E-39,2.01E-37,module,unfiltered
58,time,M00016,time,0.002510957,654,653,2.90E-38,1.78E-36,module,unfiltered
59,time,M00012,time,-0.002098585,654,586,1.34E-29,7.62E-28,module,unfiltered
60,time,M00125,time,0.002336974,654,652,4.88E-28,2.57E-26,module,unfiltered
61,time,M00126,time,-0.001859972,654,653,3.27E-27,1.61E-25,module,unfiltered
62,time,M00019,time,-0.002988656,654,495,7.97E-27,3.68E-25,module,unfiltered
63,time,M00119,time,0.002114038,654,651,4.53E-26,1.97E-24,module,unfiltered
64,time,M00348,time,0.001123221,654,600,1.33E-25,5.47E-24,module,unfiltered
65,time,M00009,time,-0.002041434,654,559,1.57E-25,6.10E-24,module,unfiltered
66,time,M00011,time,-0.001963502,654,560,2.19E-25,8.10E-24,module,unfiltered
67,time,M00061,time,0.001958534,654,615,5.08E-25,1.79E-23,module,unfiltered
68,time,M00150,time,-0.001624729,654,492,7.23E-25,2.43E-23,module,unfiltered
69,time,M00149,time,-0.001830514,654,521,2.15E-24,6.90E-23,module,unfiltered
70,time,M00006,time,-0.002123044,654,654,6.66E-22,2.05E-20,module,unfiltered
71,time,M00324,time,-0.001512113,654,619,2.97E-21,8.77E-20,module,unfiltered
72,time,M00008,time,-0.001453933,654,585,3.18E-20,9.02E-19,module,unfiltered
73,time,M00229,time,-0.001125512,654,495,4.83E-19,1.30E-17,module,unfiltered
74,time,M00025,time,-0.001560465,654,624,4.93E-19,1.30E-17,module,unfiltered
75,time,M00194,time,0.001420225,654,643,1.27E-17,3.22E-16,module,unfiltered
76,time,M00017,time,-0.001294345,654,654,3.38E-16,8.32E-15,module,unfiltered
77,time,M00207,time,0.001535268,654,624,6.11E-16,1.45E-14,module,unfiltered
78,time,M00157,time,-0.001013039,654,654,6.64E-16,1.48E-14,module,unfiltered
79,time,M00164,time,-0.001013039,654,654,6.64E-16,1.48E-14,module,unfiltered
80,time,M00232,time,-0.001061598,654,469,6.05E-15,1.31E-13,module,unfiltered
81,time,M00260,time,-0.001132724,654,431,4.88E-14,1.03E-12,module,unfiltered
82,time,M00144,time,0.000947088,654,400,2.43E-13,4.99E-12,module,unfiltered
83,time,M00193,time,-0.001905069,654,647,6.65E-13,1.33E-11,module,unfiltered
84,time,M00230,time,-0.000224794,654,476,8.43E-13,1.64E-11,module,unfiltered
85,time,M00278,time,-0.000971334,654,381,1.01E-12,1.92E-11,module,unfiltered
86,time,M00317,time,-0.00084107,654,451,2.05E-11,3.77E-10,module,unfiltered
87,time,M00124,time,-0.000961124,654,529,1.17E-10,2.11E-09,module,unfiltered
88,time,M00051,time,0.000598095,654,654,2.64E-10,4.65E-09,module,unfiltered
89,time,M00004,time,-0.001176609,654,654,2.94E-10,5.04E-09,module,unfiltered
90,time,M00035,time,0.001517211,654,598,1.02E-09,1.71E-08,module,unfiltered
91,time,M00142,time,0.000180851,654,449,1.42E-09,2.32E-08,module,unfiltered
92,time,M00028,time,-0.001095221,654,652,2.61E-09,4.18E-08,module,unfiltered
93,time,M00159,time,0.000331595,654,507,1.48E-08,2.28E-07,module,unfiltered
94,time,M00060,time,-0.000785203,654,551,1.55E-08,2.33E-07,module,unfiltered
95,time,M00349,time,-0.000132678,654,522,2.66E-08,3.92E-07,module,unfiltered
96,time,M00311,time,0.001099521,654,500,3.51E-08,5.08E-07,module,unfiltered
97,time,M00133,time,0.000878542,654,616,2.01E-07,2.86E-06,module,unfiltered
98,time,M00239,time,-0.00082346,654,654,1.48E-06,2.02E-05,module,unfiltered
99,time,M00018,time,0.000674582,654,654,1.94E-06,2.61E-05,module,unfiltered
100,time,M00225,time,-6.33E-05,654,475,3.28E-06,4.32E-05,module,unfiltered
101,time,M00277,time,-0.000723371,654,608,6.41E-06,8.30E-05,module,unfiltered
102,time,M00050,time,-0.000704289,654,654,1.18E-05,0.00015064,module,unfiltered
103,time,M00049,time,-0.000709576,654,654,1.34E-05,0.000168065,module,unfiltered
104,time,M00219,time,-0.000368401,654,336,2.03E-05,0.000249333,module,unfiltered
105,time,M00048,time,0.000430697,654,654,2.23E-05,0.000269687,module,unfiltered
106,time,M00022,time,-0.000421027,654,654,4.35E-05,0.000517833,module,unfiltered
107,time,M00226,time,-5.69E-05,654,469,5.23E-05,0.000612552,module,unfiltered
108,time,M00117,time,-0.000235737,654,471,6.04E-05,0.000696024,module,unfiltered
109,time,M00007,time,0.000347289,654,654,9.08E-05,0.001015231,module,unfiltered
110,time,M00064,time,-0.000658154,654,617,0.000141303,0.001556439,module,unfiltered
111,time,M00198,time,-0.000545291,654,619,0.000290642,0.003154322,module,unfiltered
112,time,M00336,time,-0.000193055,654,438,0.002748222,0.026340102,module,unfiltered
113,time,M00115,time,0.000588916,654,649,0.002872118,0.026539248,module,unfiltered
114,time,M00123,time,-0.000561434,654,654,0.005317797,0.046720642,module,unfiltered
115,time,M00276,time,-0.00051299,654,653,0.010331822,0.081115793,module,unfiltered
116,time,M00222,time,-0.000282935,654,654,0.015871177,0.11371775,module,unfiltered
117,time,M00319,time,-0.00025058,654,318,0.023759039,0.163870758,module,unfiltered
118,time,M00233,time,-0.000732451,654,557,0.027300323,0.181510255,module,unfiltered
119,time,M00335,time,-0.000285598,654,435,0.032139024,0.204470685,module,unfiltered
15,time,M00310,time,0.00196117,518,299,5.19E-108,3.74E-105,module,filtered
16,time,M00185,time,0.004365458,518,468,2.77E-78,9.97E-76,module,filtered
17,time,M00359,time,0.004926599,518,512,3.58E-60,8.59E-58,module,filtered
18,time,M00026,time,0.004141183,518,487,3.64E-59,6.55E-57,module,filtered
19,time,M00360,time,0.002665759,518,518,3.39E-49,4.89E-47,module,filtered
20,time,M00178,time,0.001695978,518,518,5.52E-44,6.62E-42,module,filtered
21,time,M00348,time,0.001228312,518,465,6.10E-43,6.28E-41,module,filtered
22,time,M00003,time,0.003258035,518,518,4.10E-41,3.69E-39,module,filtered
23,time,M00001,time,0.002163597,518,518,8.16E-39,6.53E-37,module,filtered
24,time,M00245,time,0.002768582,518,431,3.39E-36,2.44E-34,module,filtered
25,time,M00016,time,0.003021477,518,517,3.83E-36,2.50E-34,module,filtered
26,time,M00197,time,0.002393912,518,518,4.33E-33,2.60E-31,module,filtered
27,time,M00006,time,-0.002800888,518,518,1.26E-31,6.99E-30,module,filtered
28,time,M00002,time,0.000821496,518,518,2.30E-31,1.18E-29,module,filtered
29,time,M00061,time,0.00240707,518,480,1.38E-30,6.64E-29,module,filtered
30,time,M00119,time,0.002461117,518,516,6.68E-26,3.01E-24,module,filtered
31,time,M00019,time,-0.003042032,518,361,4.55E-25,1.92E-23,module,filtered
32,time,M00125,time,0.002587026,518,517,4.80E-25,1.92E-23,module,filtered
33,time,M00126,time,-0.002068505,518,517,6.04E-25,2.29E-23,module,filtered
34,time,M00133,time,0.001534171,518,481,2.25E-23,8.11E-22,module,filtered
35,time,M00009,time,-0.001927353,518,424,3.26E-23,1.04E-21,module,filtered
36,time,M00157,time,-0.001365333,518,518,3.31E-23,1.04E-21,module,filtered
37,time,M00164,time,-0.001365333,518,518,3.31E-23,1.04E-21,module,filtered
38,time,M00012,time,-0.001549361,518,452,4.51E-23,1.35E-21,module,filtered
39,time,M00011,time,-0.001705004,518,425,3.18E-21,9.15E-20,module,filtered
40,time,M00004,time,-0.001741608,518,518,3.43E-19,9.51E-18,module,filtered
41,time,M00008,time,-0.001230781,518,450,9.52E-19,2.54E-17,module,filtered
42,time,M00193,time,-0.00253626,518,512,1.62E-17,4.17E-16,module,filtered
43,time,M00150,time,-0.000666697,518,359,7.17E-17,1.78E-15,module,filtered
44,time,M00025,time,-0.001534066,518,489,1.52E-16,3.64E-15,module,filtered
45,time,M00149,time,-0.001022469,518,388,2.29E-16,5.32E-15,module,filtered
46,time,M00017,time,-0.00151041,518,518,1.44E-15,3.24E-14,module,filtered
47,time,M00194,time,0.001472535,518,510,9.89E-15,2.16E-13,module,filtered
48,time,M00230,time,-0.00021546,518,342,2.16E-14,4.56E-13,module,filtered
49,time,M00229,time,-0.000328033,518,363,5.21E-14,1.07E-12,module,filtered
50,time,M00324,time,-0.000688906,518,484,4.28E-13,8.56E-12,module,filtered
51,time,M00022,time,-0.000764094,518,518,1.97E-12,3.84E-11,module,filtered
52,time,M00239,time,-0.001272649,518,518,1.73E-11,3.27E-10,module,filtered
53,time,M00144,time,0.000638677,518,331,3.91E-11,7.22E-10,module,filtered
54,time,M00349,time,-0.000153828,518,389,6.12E-11,1.10E-09,module,filtered
55,time,M00117,time,-0.000335333,518,337,2.03E-10,3.57E-09,module,filtered
56,time,M00225,time,-9.19E-05,518,340,1.04E-09,1.78E-08,module,filtered
57,time,M00317,time,-0.000584399,518,329,1.19E-08,1.99E-07,module,filtered
58,time,M00222,time,-0.000671227,518,518,2.75E-08,4.51E-07,module,filtered
59,time,M00226,time,-6.25E-05,518,335,4.52E-08,7.24E-07,module,filtered
60,time,M00207,time,0.00110709,518,512,5.11E-08,7.99E-07,module,filtered
61,time,M00260,time,-0.000310713,518,301,1.56E-07,2.34E-06,module,filtered
62,time,M00142,time,0.000177939,518,361,4.58E-07,6.73E-06,module,filtered
63,time,M00060,time,-0.000478485,518,418,5.77E-07,8.15E-06,module,filtered
64,time,M00124,time,-0.00043044,518,395,5.90E-07,8.17E-06,module,filtered
65,time,M00159,time,0.000355801,518,413,1.37E-06,1.86E-05,module,filtered
66,time,M00311,time,0.001060917,518,406,1.61E-06,2.15E-05,module,filtered
67,time,M00232,time,-0.000141523,518,335,9.79E-06,0.00012818,module,filtered
68,time,M00028,time,-0.000921533,518,517,1.48E-05,0.000189956,module,filtered
69,time,M00233,time,-0.001516362,518,465,2.27E-05,0.000286911,module,filtered
70,time,M00035,time,0.001129141,518,495,2.94E-05,0.000364528,module,filtered
71,time,M00336,time,-0.000156637,518,309,3.24E-05,0.000395037,module,filtered
72,time,M00237,time,-0.000881499,518,518,4.27E-05,0.000512568,module,filtered
73,time,M00278,time,-0.000138976,518,264,0.000103064,0.001216494,module,filtered
74,time,M00050,time,-0.000676298,518,518,0.000533577,0.006196375,module,filtered
75,time,M00049,time,-0.000676916,518,518,0.000652389,0.007455878,module,filtered
76,time,M00335,time,-0.000245967,518,322,0.00512819,0.053511548,module,filtered
77,time,M00319,time,-0.000347541,518,260,0.008750145,0.088733862,module,filtered
78,time,M00299,time,0.000578052,518,516,0.016171923,0.15320769,module,filtered
79,time,M00051,time,0.000180297,518,518,0.023728274,0.216257686,module,filtered
103,time,ko04626,time,0.000588313,654,654,1.27E-97,1.46E-94,pwy,unfiltered
104,time,ko03010,time,0.001709164,654,654,1.01E-86,5.84E-84,pwy,unfiltered
105,time,ko00130,time,-0.001513163,654,654,1.81E-83,6.95E-81,pwy,unfiltered
106,time,ko00785,time,-0.002194117,654,654,5.02E-83,1.44E-80,pwy,unfiltered
107,time,ko00480,time,-0.000826308,654,654,2.16E-82,4.97E-80,pwy,unfiltered
108,time,ko03020,time,0.000511597,654,654,7.86E-81,1.51E-78,pwy,unfiltered
109,time,ko00790,time,-0.001480653,654,654,3.95E-80,6.51E-78,pwy,unfiltered
110,time,ko00970,time,0.001216155,654,654,3.52E-73,5.07E-71,pwy,unfiltered
111,time,ko00680,time,0.000353699,654,654,7.61E-73,9.74E-71,pwy,unfiltered
112,time,ko00330,time,0.000484382,654,654,1.32E-71,1.52E-69,pwy,unfiltered
113,time,ko00250,time,0.000795012,654,654,6.81E-71,7.13E-69,pwy,unfiltered
114,time,ko00290,time,0.001566962,654,654,6.46E-70,6.20E-68,pwy,unfiltered
115,time,ko00440,time,-0.000608725,654,654,4.77E-61,4.23E-59,pwy,unfiltered
116,time,ko00450,time,0.000655615,654,654,7.08E-61,5.83E-59,pwy,unfiltered
117,time,ko03018,time,0.000392353,654,654,4.25E-54,3.27E-52,pwy,unfiltered
118,time,ko00770,time,0.00048933,654,654,2.69E-47,1.94E-45,pwy,unfiltered
119,time,ko00930,time,0.000228877,654,495,7.56E-47,5.12E-45,pwy,unfiltered
120,time,ko00100,time,0.000103577,654,483,1.60E-46,1.02E-44,pwy,unfiltered
121,time,ko01040,time,-0.00072626,654,654,1.76E-45,1.02E-43,pwy,unfiltered
122,time,ko00473,time,-0.001175929,654,654,1.78E-45,1.02E-43,pwy,unfiltered
123,time,ko00052,time,-0.000453087,654,654,7.74E-39,4.25E-37,pwy,unfiltered
124,time,ko03410,time,0.000446257,654,654,1.20E-38,6.30E-37,pwy,unfiltered
125,time,ko00620,time,0.000570301,654,654,1.69E-38,8.44E-37,pwy,unfiltered
126,time,ko04112,time,0.000354999,654,654,2.01E-38,9.64E-37,pwy,unfiltered
127,time,ko03430,time,-0.000373834,654,654,2.85E-38,1.31E-36,pwy,unfiltered
128,time,ko03060,time,-0.00052066,654,654,5.48E-38,2.43E-36,pwy,unfiltered
129,time,ko02010,time,-0.00052035,654,654,9.83E-37,4.19E-35,pwy,unfiltered
130,time,ko00300,time,0.000683598,654,654,2.60E-36,1.07E-34,pwy,unfiltered
131,time,ko00908,time,-0.000412045,654,654,1.88E-32,7.48E-31,pwy,unfiltered
132,time,ko00410,time,0.001793052,654,443,4.56E-29,1.75E-27,pwy,unfiltered
133,time,ko00550,time,-0.000603995,654,654,1.10E-27,4.08E-26,pwy,unfiltered
134,time,ko00360,time,-0.000320858,654,654,1.16E-27,4.17E-26,pwy,unfiltered
135,time,ko00730,time,0.000538892,654,654,2.39E-27,8.35E-26,pwy,unfiltered
136,time,ko00280,time,-0.000219754,654,654,2.54E-27,8.62E-26,pwy,unfiltered
137,time,ko00350,time,-0.000323055,654,654,1.24E-26,4.07E-25,pwy,unfiltered
138,time,ko00760,time,-0.000573802,654,654,1.97E-25,6.31E-24,pwy,unfiltered
139,time,ko00230,time,0.000188007,654,654,1.79E-24,5.59E-23,pwy,unfiltered
140,time,ko03008,time,-0.000290139,654,654,8.85E-22,2.68E-20,pwy,unfiltered
141,time,ko03420,time,0.000265946,654,654,1.39E-21,4.10E-20,pwy,unfiltered
142,time,ko00362,time,0.000228193,654,654,2.53E-21,7.28E-20,pwy,unfiltered
143,time,ko02020,time,-0.000556926,654,654,3.05E-19,8.57E-18,pwy,unfiltered
144,time,ko00920,time,0.000317856,654,654,3.20E-19,8.78E-18,pwy,unfiltered
145,time,ko00240,time,0.000222854,654,654,3.36E-19,9.00E-18,pwy,unfiltered
146,time,ko04146,time,-0.000327817,654,635,6.37E-19,1.67E-17,pwy,unfiltered
147,time,ko05142,time,-0.000414427,654,286,1.56E-18,3.99E-17,pwy,unfiltered
148,time,ko00740,time,0.00075945,654,654,7.34E-18,1.84E-16,pwy,unfiltered
149,time,ko00511,time,-0.000555194,654,654,1.02E-17,2.51E-16,pwy,unfiltered
150,time,ko00670,time,0.000256836,654,654,4.54E-17,1.09E-15,pwy,unfiltered
151,time,ko00521,time,0.000715583,654,654,5.95E-17,1.40E-15,pwy,unfiltered
152,time,ko01053,time,-0.000751056,654,654,1.08E-16,2.50E-15,pwy,unfiltered
153,time,ko05100,time,-0.000187903,654,651,1.17E-16,2.65E-15,pwy,unfiltered
154,time,ko00910,time,-0.000282041,654,654,6.01E-16,1.33E-14,pwy,unfiltered
155,time,ko00625,time,0.001311842,654,216,8.20E-16,1.78E-14,pwy,unfiltered
156,time,ko00311,time,-0.00059054,654,651,2.28E-15,4.86E-14,pwy,unfiltered
157,time,ko00624,time,0.000689287,654,261,3.01E-15,6.31E-14,pwy,unfiltered
158,time,ko03440,time,-0.000229637,654,654,7.78E-15,1.60E-13,pwy,unfiltered
159,time,ko00627,time,-0.000536685,654,654,1.20E-14,2.43E-13,pwy,unfiltered
160,time,ko04621,time,-0.000219796,654,462,6.83E-14,1.36E-12,pwy,unfiltered
161,time,ko00623,time,-0.000818249,654,259,2.48E-13,4.84E-12,pwy,unfiltered
162,time,ko05111,time,-0.000171203,654,649,2.62E-13,5.03E-12,pwy,unfiltered
